City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,saint-joseph,-21.3667,55.6167,26.21,85,89,5.0,RE,1675620702
164,butaritari,3.0707,172.7902,26.93,82,87,8.3,KI,1675620643
165,umm kaddadah,13.6017,26.6876,23.58,12,46,5.12,SD,1675620703
166,sabirabad,40.0095,48.4752,7.2,66,77,1.59,AZ,1675620704
167,harper,4.375,-7.7169,27.74,78,100,4.71,LR,1675620704
168,kota bahru,6.1333,102.2386,23.75,90,78,2.13,MY,1675620705
169,petatlan,17.5167,-101.2667,29.89,33,1,2.77,MX,1675620706
170,saldanha,-33.0117,17.9442,21.03,88,25,8.88,ZA,1675620707
171,hamilton,39.1834,-84.5333,11.69,53,100,9.77,US,1675620708
172,cockburn town,21.4612,-71.1419,25.12,77,4,9.44,TC,1675620598
173,tiksi,71.6872,128.8694,-34.24,100,100,1.5,RU,1675620595
174,grand gaube,-20.0064,57.6608,26.88,77,72,1.79,MU,1675620710
175,northam,51.0333,-4.2167,7.01,80,90,2.49,GB,1675620711
176,diffa,13.3154,12.6113,28.17,13,100,3.26,NE,1675620711
177,biltine,14.5333,20.9167,26.67,8,93,3.73,TD,1675620712
178,inhambane,-23.865,35.3833,24.84,81,2,4.97,MZ,1675620713
179,fort nelson,58.8053,-122.7002,-15.59,83,100,5.14,CA,1675620701
180,antalaha,-14.9003,50.2788,24.47,91,98,2.72,MG,1675619935
181,arlit,18.7369,7.3853,27.52,9,10,4.16,NE,1675620714
182,keetmanshoop,-26.5833,18.1333,29.08,38,64,5.26,NA,1675620715
183,bathsheba,13.2167,-59.5167,28.34,65,40,10.8,BB,1675620716
184,namatanai,-3.6667,152.4333,25.58,81,99,1.37,PG,1675620716
185,port alfred,-33.5906,26.891,21.77,90,6,1.34,ZA,1675620717
186,ibirapitanga,-14.1642,-39.3736,33.97,35,27,2.76,BR,1675620718
187,faya,18.3851,42.4509,13.29,62,98,2.25,SA,1675620562
188,maniitsoq,65.4167,-52.9,-16.01,88,100,5.97,GL,1675620568
189,emba,48.8264,58.1442,-18.09,97,37,2.64,KZ,1675620574
190,arraial do cabo,-22.9661,-42.0278,28.92,70,40,2.06,BR,1675620572
191,te anau,-45.4167,167.7167,13.81,90,100,3.69,NZ,1675620647
192,kirovsk,48.6375,38.6428,-2.52,90,100,4.41,UA,1675620721
193,paracuru,-3.41,-39.0306,28.39,68,93,5.15,BR,1675620511
194,abay,49.6311,72.8539,-11.79,96,99,1.81,KZ,1675620722
195,alice springs,-23.7,133.8833,14.75,72,0,2.57,AU,1675620723
196,bambous virieux,-20.3428,57.7575,26.79,82,77,5.09,MU,1675620135
197,red bluff,40.1785,-122.2358,9.92,81,100,6.17,US,1675620629
198,probolinggo,-7.7543,113.2159,24.35,81,99,1.77,ID,1675620725
199,ponta delgada,37.7333,-25.6667,16.4,77,40,4.63,PT,1675620497
200,rovnoye,50.7765,46.0509,-10.23,95,97,2.49,RU,1675620726
201,kavaratti,10.5669,72.642,27.18,74,6,3.62,IN,1675620727
202,aykhal,66.0,111.5,-38.08,100,61,1.29,RU,1675620727
203,dhidhdhoo,6.8833,73.1,27.18,72,68,0.75,MV,1675620728
204,kazachinskoye,57.6953,93.2761,-22.86,100,97,1.15,RU,1675620729
205,vaini,-21.2,-175.2,26.35,75,67,2.48,TO,1675620145
206,emerald,-23.5333,148.1667,24.63,91,100,5.45,AU,1675620730
207,ribeira grande,38.5167,-28.7,16.54,88,20,6.26,PT,1675620731
208,asau,46.4333,26.4,-4.29,91,95,3.16,RO,1675620731
209,istok,42.7808,20.4875,-4.6,69,53,2.86,XK,1675620732
210,talnakh,69.4865,88.3972,-18.22,97,100,1.59,RU,1675620733
211,champerico,14.3,-91.9167,28.55,63,0,4.12,GT,1675620735
212,mar del plata,-38.0023,-57.5575,27.23,41,17,4.89,AR,1675620646
213,severo-yeniseyskiy,60.3725,93.0408,-16.86,98,100,2.1,RU,1675620736
214,tautira,-17.7333,-149.15,27.39,76,85,6.75,PF,1675620736
215,zhangye,38.9342,100.4517,-2.66,35,9,2.74,CN,1675620737
216,palatka,29.6486,-81.6376,24.12,63,65,0.89,US,1675620738
217,slupsk,54.4641,17.0287,-5.86,89,100,1.99,PL,1675620739
218,brigham city,41.5102,-112.0155,2.49,70,100,0.89,US,1675620705
219,provideniya,64.3833,-173.3,-17.28,96,97,4.47,RU,1675620293
220,vallenar,-28.5708,-70.7581,30.98,30,0,5.16,CL,1675620740
221,miranda de ebro,42.6865,-2.947,6.2,80,75,2.92,ES,1675620741
222,geraldton,-28.7667,114.6,23.23,73,100,5.14,AU,1675620741
223,erbaa,40.6689,36.5675,1.54,86,89,1.16,TR,1675620743
224,tramore,52.1624,-7.1524,6.72,74,0,1.03,IE,1675620743
225,barrow,71.2906,-156.7887,-27.99,76,100,3.6,US,1675620672
226,sidney,-33.8679,151.2073,22.61,78,75,4.63,AU,1675620662
227,yayva,59.3303,57.2641,-14.35,100,100,1.22,RU,1675620745
228,bilma,18.6853,12.9164,23.7,14,32,5.47,NE,1675620746
229,carnarvon,-24.8667,113.6333,24.99,76,2,6.18,AU,1675620746
230,san cristobal,7.7669,-72.225,26.1,67,48,3.17,VE,1675620747
231,cardenas,23.0375,-81.2047,28.42,48,0,3.66,CU,1675620748
232,ciudad bolivar,8.1222,-63.5497,31.92,38,86,5.94,VE,1675620748
233,chunskiy,56.0815,99.6342,-24.56,100,98,0.55,RU,1675620749
234,iki-burul,45.8208,44.6472,-1.03,81,82,5.09,RU,1675620750
235,portland,45.5234,-122.6762,9.49,92,75,6.26,US,1675620571
236,souillac,-20.5167,57.5167,26.21,89,20,1.54,MU,1675620751
237,gat,31.61,34.7642,13.55,100,39,5.01,IL,1675620752
238,ladario,-19.0047,-57.6017,33.16,49,40,2.57,BR,1675620695
239,kismayo,-0.3582,42.5454,24.55,84,47,6.83,SO,1675620753
240,igrim,63.1906,64.4162,-22.96,100,97,0.82,RU,1675620753
241,sabha,27.0377,14.4283,13.39,39,6,4.67,LY,1675620754
242,buraydah,26.326,43.975,16.38,27,72,4.08,SA,1675620755
243,atar,20.5169,-13.0499,24.48,14,50,4.71,MR,1675620755
244,mahebourg,-20.4081,57.7,26.81,89,20,1.54,MU,1675620756
245,mayskiy,47.6931,40.1025,-0.33,89,100,5.51,RU,1675620757
246,hailar,49.2,119.7,-27.67,100,91,2.33,CN,1675620757
247,zabaykalsk,49.6333,117.3167,-23.4,100,62,2.93,RU,1675620758
248,tukrah,32.5341,20.5791,11.43,53,88,15.28,LY,1675620759
249,nome,64.5011,-165.4064,-8.96,79,75,3.09,US,1675620759
250,benguela,-12.5763,13.4055,26.24,71,51,2.97,AO,1675620760
251,rundu,-17.9333,19.7667,20.59,91,100,2.97,NA,1675620761
252,boguchany,58.3814,97.4531,-21.61,100,97,1.4,RU,1675620761
253,lebedinyy,58.5167,125.5167,-29.92,100,100,1.9,RU,1675620762
254,sajanan,37.0573,9.2426,10.51,83,38,0.86,TN,1675620763
255,omboue,-1.5746,9.2618,26.13,83,97,2.65,GA,1675620763
256,olafsvik,64.8945,-23.7142,7.17,91,94,17.89,IS,1675620638
257,fonte boa,-2.4959,-66.2662,29.72,64,100,0.9,BR,1675620764
258,yanji,42.9075,129.5078,-10.68,95,97,1.48,CN,1675620765
259,ketchikan,55.3422,-131.6461,3.26,87,20,1.54,US,1675620765
260,vostok,46.4856,135.8833,-21.17,100,99,1.64,RU,1675620767
261,beyneu,45.3167,55.2,1.91,69,100,0.44,KZ,1675620767
262,bijar,35.8668,47.6051,-9.83,97,41,1.98,IR,1675620768
263,kavieng,-2.5744,150.7967,27.42,74,96,1.07,PG,1675620769
264,barcelos,41.5388,-8.6151,15.08,60,0,1.38,PT,1675620769
265,tazovskiy,67.4667,78.7,-23.11,100,56,3.78,RU,1675620770
266,zhigansk,66.7697,123.3711,-42.02,97,97,1.23,RU,1675620735
267,camabatela,-8.1881,15.375,17.39,90,100,1.29,AO,1675620694
268,sitka,57.0531,-135.33,2.94,81,20,4.12,US,1675620497
269,wahiawa,21.5028,-158.0236,22.18,78,100,2.06,US,1675620573
270,kruisfontein,-34.0033,24.7314,24.94,80,13,5.7,ZA,1675620773
271,goderich,43.7501,-81.7165,3.84,75,100,7.2,CA,1675620773
272,krasnoturansk,54.3186,91.5639,-25.35,100,41,0.63,RU,1675620774
273,katsuura,35.1333,140.3,8.76,82,17,2.9,JP,1675620775
274,valleyview,55.0667,-117.2859,1.02,69,91,5.14,CA,1675620776
275,chuy,-33.6971,-53.4616,25.71,49,10,4.85,UY,1675620574
276,tateyama,34.9833,139.8667,9.42,76,5,3.07,JP,1675620777
277,giyani,-23.3025,30.7187,26.68,45,0,4.29,ZA,1675620778
278,altay,47.8667,88.1167,-10.53,74,29,3.64,CN,1675620766
279,nhulunbuy,-12.2333,136.7667,23.34,94,98,1.54,AU,1675620780
280,jibuti,11.5,42.5,21.56,73,26,5.41,DJ,1675620780
281,mogadishu,2.0371,45.3438,25.15,81,58,8.99,SO,1675620781
282,ambilobe,-13.2,49.05,23.58,94,100,1.05,MG,1675620782
283,caxito,-8.5785,13.6643,26.37,77,83,2.49,AO,1675620783
284,airai,-8.9266,125.4092,15.69,94,100,0.63,TL,1675620557
285,grindavik,63.8424,-22.4338,8.26,93,100,17.49,IS,1675620784
286,grand-santi,4.25,-54.3833,25.29,96,100,1.79,GF,1675620784
287,narsaq,60.9167,-46.05,-6.88,87,100,2.83,GL,1675620785
288,marica,-22.9194,-42.8186,29.97,77,49,3.05,BR,1675620482
289,muswellbrook,-32.2667,150.9,15.74,95,0,0.61,AU,1675620787
290,igbo ora,7.4333,3.2833,32.58,41,100,4.17,NG,1675620788
291,vasylivka,47.4369,35.2742,-0.74,76,99,5.24,UA,1675620788
292,wanaka,-44.7,169.15,16.17,64,93,6.26,NZ,1675620789
293,salinas,36.6777,-121.6555,13.95,79,0,6.17,US,1675620790
294,sarangani,5.4033,125.4636,27.47,74,100,5.63,PH,1675620790
295,naze,28.3667,129.4833,17.51,76,100,5.7,JP,1675620791
296,mayna,54.1135,47.6231,-15.43,97,100,1.09,RU,1675620792
297,srednekolymsk,67.45,153.6833,-37.27,100,100,2.62,RU,1675620692
298,jiayuguan,39.8167,98.3,-3.78,41,3,1.48,CN,1675620793
299,seoul,37.5683,126.9778,-3.31,100,20,1.03,KR,1675620794
300,xam nua,20.4197,104.0439,16.33,99,92,1.24,LA,1675620794
301,half moon bay,37.4636,-122.4286,12.97,87,20,6.17,US,1675620795
302,belen,36.4891,36.2233,1.08,93,100,6.69,TR,1675620795
303,coquimbo,-29.9533,-71.3436,22.85,64,0,6.69,CL,1675620618
304,chake chake,-5.2459,39.7666,26.04,78,13,4.89,TZ,1675620667
305,carbonia,39.1672,8.5222,12.53,86,42,0.68,IT,1675620797
306,cherskiy,68.75,161.3,-40.93,100,100,2.25,RU,1675620798
307,cap malheureux,-19.9842,57.6142,26.93,77,68,1.79,MU,1675620799
308,kuala terengganu,5.3302,103.1408,26.97,83,40,4.12,MY,1675620799
309,tabat,-2.635,115.2274,22.85,94,100,0.57,ID,1675620800
310,rosetta,31.4044,30.4164,15.06,52,66,9.38,EG,1675620801
311,bima,-8.4667,118.7167,24.34,95,100,1.41,ID,1675620586
312,dunedin,-45.8742,170.5036,18.78,48,59,2.68,NZ,1675620802
313,deep river,46.1001,-77.4995,0.24,99,100,2.54,CA,1675620802
314,weligama,5.9667,80.4167,24.61,90,93,1.33,LK,1675620803
315,kamaishi,39.2667,141.8833,-0.6,76,12,2.77,JP,1675620804
316,morehead,37.2711,-87.1764,12.14,55,100,4.12,US,1675620805
317,ovalle,-30.5983,-71.2003,29.78,37,0,5.36,CL,1675620806
318,garowe,8.4054,48.4845,23.51,48,18,7.32,SO,1675620806
319,rocha,-34.4833,-54.3333,26.28,48,34,4.21,UY,1675620746
320,yar-sale,66.8333,70.8333,-21.49,99,97,2.6,RU,1675620661
321,kuji,40.1878,141.7689,-1.6,79,26,3.01,JP,1675620808
322,araouane,18.9048,-3.5265,22.63,15,75,3.89,ML,1675620768
323,saint-augustin,51.226,-58.6502,-15.78,67,97,4.75,CA,1675620809
324,flinders,-34.5833,150.8552,20.66,80,96,1.34,AU,1675620810
325,bam,29.106,58.357,12.4,34,1,1.47,IR,1675620810
326,cabra,37.4725,-4.4421,11.9,44,1,0.93,ES,1675620811
327,hasaki,35.7333,140.8333,1.22,79,90,4.33,JP,1675620530
328,taoudenni,22.6783,-3.9836,21.25,17,46,4.47,ML,1675620812
329,bulakamba,-6.8748,108.9559,26.55,81,100,0.46,ID,1675620813
330,mnogovershinnyy,53.9353,139.9242,-25.51,97,94,1.77,RU,1675620814
331,mananara,-16.1667,49.7667,23.63,94,96,2.06,MG,1675620814
332,poronaysk,49.2167,143.1167,-23.49,96,87,1.24,RU,1675620815
333,leningradskiy,69.3833,178.4167,-32.21,98,100,2.02,RU,1675620550
334,lata,40.1629,-8.3327,10.97,61,0,2.62,PT,1675620760
335,padang,-0.9492,100.3543,22.03,79,100,1.28,ID,1675620817
336,ahuimanu,21.4447,-157.8378,23.84,85,40,4.63,US,1675620818
337,tessalit,20.1986,1.0114,24.33,10,70,4.38,ML,1675620819
338,rosarito,32.3333,-117.0333,16.34,79,19,2.84,MX,1675620820
339,ishinomaki,38.4167,141.3,1.52,71,5,1.98,JP,1675620570
340,telc,49.1842,15.4528,-4.3,87,100,0.78,CZ,1675620821
341,lompoc,34.6391,-120.4579,15.56,89,75,6.69,US,1675620822
342,kysyl-syr,63.8986,122.7617,-46.09,100,85,1.67,RU,1675620823
343,shache,38.4167,77.2406,-3.32,79,100,1.79,CN,1675620823
344,awjilah,29.1081,21.2869,14.0,68,74,7.46,LY,1675620824
345,bac lieu,9.285,105.7244,24.18,84,36,4.35,VN,1675620824
346,ipira,-12.1583,-39.7372,35.22,24,1,3.02,BR,1675620826
347,jumla,29.2747,82.1838,3.54,59,0,1.8,NP,1675620827
348,karasjok,69.4719,25.5112,-7.32,96,100,3.1,NO,1675620827
349,pisco,-13.7,-76.2167,25.03,78,0,4.63,PE,1675620715
350,auki,-8.7676,160.7034,24.84,94,100,5.62,SB,1675620829
351,ust-tsilma,65.441,52.1498,-25.23,100,94,1.12,RU,1675620732
